Ticker symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,SEC filings
TNDM,Tandem Diabetes Care,Health Care,Health Care Equipment,"San Diego, California",reports
TNL,Travel + Leisure Co.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Orlando, Florida",reports
TOL,Toll Brothers,Consumer Discretionary,Homebuilding,"Fort Washington, Pennsylvania",reports
TPX,Tempur Sealy,Consumer Discretionary,Home Furnishings,"Lexington, Kentucky",reports
TREX,Trex,Industrials,Building Products,"Winchester, Virginia",reports
TRIP,TripAdvisor,Communication Services,Interactive Media & Services,"Needham, Massachusetts",reports
TTC,Toro,Industrials,Agricultural & Farm Machinery,"Bloomington, Minnesota",reports
TTEK,Tetra Tech,Industrials,Environmental & Facilities Services,"Pasadena, California",reports
TXRH,Texas Roadhouse,Consumer Discretionary,Restaurants,"Louisville, Kentucky",reports
UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",reports
UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",reports
UBSI,United Bankshares,Financials,Regional Banks,"Charleston, West Virginia",reports
UGI,UGI Corp,Utilities,Gas Utilities,"King of Prussia, Pennsylvania",reports
UMBF,UMB Financial Corp.,Financials,Regional Banks,"Kansas City, Missouri",reports
UMPQ,Umpqua Bank,Financials,Regional Banks,"Canyonville, Oregon",reports
UNM,Unum,Financials,Life & Health Insurance,"Chattanooga, Tennessee",reports
UNVR,Univar Solutions,Industrials,Trading Companies & Distributors,"Downers Grove, Illinois",reports
UTHR,United Therapeutics,Health Care,Biotechnology,,reports
VAC,Marriott Vacations Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Orlando, Florida",reports
VC,Visteon,Consumer Discretionary,Auto Parts & Equipment,"Van Buren Township, Michigan",reports
VICR,Vicor,Industrials,Electrical Components & Equipment,"Andover, Massachusetts",reports
VLY,Valley,Financials,Regional Banks,"Wayne, New Jersey",reports
VMI,Valmont,Industrials,Industrial Machinery,"Omaha, Nebraska",reports
VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York City, New York",reports
VNT,Vontier,Information Technology,Electronic Equipment & Instruments,"Raleigh, North Carolina",reports
VOYA,Voya Financial,Financials,Multi-Sector Holdings,"New York City, New York",reports
VSAT,Viasat,Information Technology,Communications Equipment,"Carlsbad, California",reports
VSCO,Victoria's Secret,Consumer Discretionary,Apparel Retail,"Reynoldsburg, Ohio",reports
VSH,Vishay,Information Technology,Electronic Components,"Malvern, Pennsylvania",reports
VVV,Valvoline,Materials,Commodity Chemicals,"Lexington, Kentucky",reports
WAFD,Washington Federal,Financials,Thrifts & Mortgage Finance,"Seattle, Washington",reports
WBS,Webster Bank,Financials,Regional Banks,"Stamford, Connecticut",reports
WEN,Wendy's,Consumer Discretionary,Restaurants,"Dublin, Ohio",reports
WERN,Werner Enterprises,Industrials,Trucking,"Omaha, Nebraska",reports
WEX,WEX Inc.,Information Technology,Data Processing & Outsourced Services,"South Portland, Maine",reports
WH,Wyndham Hotels & Resorts,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",reports
WING,Wingstop,Consumer Discretionary,Restaurants,"Addison, Texas",reports
WLK,Westlake,Materials,Specialty Chemicals,"Houston, Texas",reports
WLY,John Wiley & Sons,Communication Services,Publishing,"Hoboken, New Jersey",reports
WOLF,Wolfspeed,Information Technology,Semiconductors,"Research Triangle Park, North Carolina",reports
WOR,Worthington Industries,Materials,Steel,"Columbus, Ohio",reports
WSM,Williams-Sonoma,Consumer Discretionary,Homefurnishing Retail,"San Francisco, California",reports
WSO,Watsco,Industrials,Trading Companies & Distributors,"Miami, Florida",reports
WTFC,Wintrust,Financials,Regional Banks,"Rosemont, Illinois",reports
WTRG,Essential Utilities,Utilities,Water Utilities,"Bryn Mawr, Pennsylvania",reports
WTS,Watts Water Technologies,Industrials,Building Products,,reports
WU,Western Union,Information Technology,Data Processing & Outsourced Services,"Denver, Colorado",reports
WWD,Woodward,Industrials,Electrical Components & Equipment,"Fort Collins, Colorado",reports
WWE,World Wrestling Entertainment,Communication Services,Movies & Entertainment,"Stamford, Connecticut",reports
X,U.S. Steel,Materials,Steel,"Pittsburgh, Pennsylvania",reports
XPO,XPO Logistics,Industrials,Trucking,"Greenwich, Connecticut",reports
XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",reports
YETI,Yeti,Consumer Discretionary,Leisure Products,"Austin, Texas",reports
ZD,Ziff Davis,Communication Services,Advertising,"New York City, New York",reports
